categoria,id_yupana,equipo_yupana,estacion,relacion,regulacion,nota
4,9,PACHACHACA,UPAMAYO,cuenca,,Mantaro alto
4,10,YAUPI,TOMA UCHUHUERTA - STATKRAFT,cuenca,,Paucartambo
4,11,HUANCHOR,TAMBORAQUE,cuenca,,Rimac
4,12,PARIAC,SAN DIEGO,cuenca,,Santa
4,13,YANANGO,YANANGO,equivalente,,CALCULO_DELTAS: TARMA
4,18,ARICOTA I,ARICOTA,equivalente,,CALCULO_DELTAS: NATURAL ARICOTA
4,20,MACHUPICCHU,TOMA Km 105,equivalente,,CALCULO_DELTAS: NATURAL VILCANOTA
4,24,CAHUA,TOMA CAHUA,equivalente,,Pativilca
4,28,GALLITO CIEGO,GALLITO CIEGO,equivalente,,Jequetepeque
4,34,P.C.H CHAGLLA,,,,sin estacion en su cuenca (antes CHIMAY); repite el caso base
4,38,MCH CERRO DEL AGUILA,UPAMAYO,cuenca,,Mantaro
4,39,CARHUAC,TAMBORAQUE,cuenca,,Rimac
4,54,LA VIRGEN,YANANGO,cuenca,,Tarma
19,1,SHEQUE,SHEQUE,equivalente,horaria,CALCULO_DELTAS: SHEQUE (SANTA EULALIA)
19,4,PRESA MALPASO,,,estacional,embalse estacional: manda el plan de descargas
19,5,AGUADA BLANCA,,,estacional,embalse estacional: manda el plan de descargas
19,7,CINCEL,,,estacional,embalse estacional: manda el plan de descargas
19,8,CIRATO,RESERVORIO CIRATO,equivalente,horaria,Chancay-Lambayeque
19,12,SAN GABAN,SAN GABAN,equivalente,horaria,CALCULO_DELTAS: NATURAL SAN GABAN
19,13,TULUMAYO,CHIMAY,equivalente,horaria,CALCULO_DELTAS: TULUMAYO
19,14,SAN DIEGO,SAN DIEGO,equivalente,horaria,Santa
19,15,HUALLAMAYO,EMBALSE HUALLAMAYO - STATKRAFT,equivalente,horaria,Paucartambo
19,16,TABLACHACA,UPAMAYO,cuenca,horaria,CALCULO_DELTAS: MANTARO
19,17,CHAGLLA EM,,,horaria,sin estacion en su cuenca (antes CHIMAY); repite el caso base
19,23,SHAPIRINGO,RESERVORIO YUNCAN,cuenca,horaria,Paucartambo; revisar
19,28,CERRO DEL AGUILA EM,UPAMAYO,cuenca,horaria,Mantaro
19,30,PALLCA,SHEQUE,cuenca,horaria,Santa Eulalia
19,31,EMB CHECRAS,,,horaria,sin estacion en su cuenca (antes TOMA CAHUA); repite el caso base
19,32,RESER CAPILLUCAS,,,horaria,sin estacion en su cuenca (antes TAMBORAQUE); repite el caso base
19,37,EMB SAN GABAN III,SAN GABAN,cuenca,horaria,San Gaban
19,38,TOMA_RENOVANDES,,,horaria,sin estacion en su cuenca (antes YANANGO); repite el caso base
19,39,RESERVORIO CAHUA,TOMA CAHUA,equivalente,horaria,Pativilca
