id_yupana,nombre,cod_equipo,sugerencia_1,sugerencia_2,sugerencia_3
5,HUAYCOLORO,,13298 C.T. HUAYCOLORO (0.33),1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00)
7,STACRUZ_1_2,,16925 TG6 (0.25),18790 C.H. HER 1 (0.25),13143 C.H. PIAS 1 (0.25)
11,NIMPERIAL,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
17,POECHOS2,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
20,ELOR,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
22,POECHOS1,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
28,LAGRINGAV,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
33,TABLAZO,,13335 C.T. TABLAZO (0.33),1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00)
39,MCH_PATAPO,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
40,CH_HER1,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
47,8AGOSTO,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
48,RENOVANDESH1,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
63,PTA_LOMITAS_EXP_BL1,22661,22661 C.E. PUN LOM_EXP-BL1 (0.43),22377 C.E. PUNTA LOMITAS-BL1 (0.40),22662 C.E. PUN LOM_EXP-BL2 (0.25)
64,PTA_LOMITAS_EXP_BL2,22662,22662 C.E. PUN LOM_EXP-BL2 (0.43),22378 C.E. PUNTA LOMITAS-BL2 (0.40),22661 C.E. PUN LOM_EXP-BL1 (0.25)
75,CT_AGRO_OLMOS,,1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00),11842 C.H. CAÑA BRAVA (0.00)
78,CS_COENERGY,26900,26900 G.S. COENERGY (0.25),1202 C.H. ARICOTA II (0.00),14964 C.H. CHEVES (0.00)
37,YARUCAYA,17551,21771 en disputa (1.00)
38,INTIPAMPA,17796,26863 en disputa (1.00)
57,SANTA ROSA 1,,33 en disputa (1.00)
58,SANTA ROSA 2,,33 en disputa (1.00)
59,CSF YARUCAYA,21771,21771 en disputa (1.00)
67,REFINERIA_TALARA_G1,,22385 en disputa (1.00)
68,REFINERIA_TALARA_G2,,22385 en disputa (1.00)
79,CS_EXPANSION_INTIPAMPA,26863,26863 en disputa (1.00)
69,WAYRA_EXP,23253,el automatico elegia 26868 C.S. WAYRA SOLAR: Wayra Extension es eolica,,
70,CS CARHUAQUERO,23437,el automatico sumaba tambien 264 C.H. CARHUAQUERO (92 MW hidro),,
